代,"天皇名の漢風諡号追号",読み,"天皇名の和風諡号御称号(幼名)別称",諱,画像,"諡号・追号の別諡号・追号の由来","在位期間（1872年以前の日付は旧暦）",備考,"生年月日 - 没年月日享年"
12,景行天皇,"けいこう(けいかう)",大足彦忍代別天皇,,,"諡号淡海三船による一括撰進","景行天皇元年7月11日- 同60年11月7日(『日本書紀』)",,"垂仁天皇17年- 景行天皇60年11月7日143歳没(『日本書紀』)"
13,成務天皇,せいむ,稚足彦天皇,,,"諡号淡海三船による一括撰進","成務天皇元年1月5日- 同60年6月11日(『日本書紀』)",,"景行天皇14年- 成務天皇60年6月11日107歳没(『日本書紀』)"
14,仲哀天皇,ちゅうあい,足仲彦天皇,,,"諡号淡海三船による一括撰進","仲哀天皇元年1月11日- 同9年2月6日(『日本書紀』)",,"成務天皇18年?- 仲哀天皇9年2月6日53歳?没(『日本書紀』)"
15,"応神天皇(應神天皇)",おうじん,"誉田天皇(異称)胎中天皇",誉田別,,"諡号淡海三船による一括撰進","応神天皇元年1月1日- 同41年2月15日(『日本書紀』)",一説に倭の五王の「讃」に比定[8]。,"仲哀天皇9年12月14日- 応神天皇41年2月15日111歳没(『日本書紀』)"
16,"仁徳天皇(仁德天皇)",にんとく,大鷦鷯天皇,大鷦鷯,,"諡号淡海三船による一括撰進","仁徳天皇元年1月3日- 同87年1月16日(『日本書紀』)",一説に倭の五王の「讃」に比定[8]。,"神功皇后57年- 仁徳天皇87年1月16日143歳没(『日本書紀』)"
17,履中天皇,りちゅう,大兄去来穂別天皇,去来穂別,,"諡号淡海三船による一括撰進","履中天皇元年2月1日- 同6年3月15日(『日本書紀』)",一説に倭の五王の「讃」に比定[8]。,"仁徳天皇24年?- 履中天皇6年3月15日70歳没(『日本書紀』)"
18,反正天皇,はんぜい,多遅比瑞歯別天皇,瑞歯別,,"諡号淡海三船による一括撰進","反正天皇元年1月2日- 同5年1月23日(『日本書紀』)",倭の五王の「珍」への比定が有力[9]。,"仁徳天皇24年?- 反正天皇5年1月23日75歳?没(『日本書紀』)"
19,允恭天皇,いんぎょう,雄朝津間稚子宿禰天皇,稚子,,"諡号淡海三船による一括撰進","允恭天皇元年12月- 同42年1月14日(『日本書紀』)",倭の五王の「済」に比定[10]。,"仁徳天皇64年?- 允恭天皇42年1月14日78歳没(『日本書紀』)"
20,安康天皇,"あんこう(あんかう)",穴穂天皇,穴穂,,"諡号淡海三船による一括撰進","允恭天皇42年12月14日- 安康天皇3年8月9日(『日本書紀』)",倭の五王の「興」に比定[11]。,"履中天皇2年?- 安康天皇3年8月9日56歳没(『日本書紀』)"
21,雄略天皇,"ゆうりゃく(いうりゃく)",大泊瀬幼武天皇,幼武,,"諡号淡海三船による一括撰進","安康天皇3年11月13日- 雄略天皇23年8月7日(『日本書紀』)","倭の五王の「武」に比定[12]。稲荷山古墳出土鉄剣・江田船山古墳出土鉄刀の大王銘に比定[表外参照 1]。","允恭天皇7年12月- 雄略天皇23年8月7日62歳没(『日本書紀』)"
22,"清寧天皇(淸寧天皇)",せいねい,白髪武広国押稚日本根子天皇,白髪,,"諡号淡海三船による一括撰進","清寧天皇元年1月15日- 同5年1月16日(『日本書紀』)",,"允恭天皇33年?- 清寧天皇5年1月16日41歳?没(『日本書紀』)"
23,"顕宗天皇(顯宗天皇)",けんぞう,弘計天皇,来目稚子,,"諡号淡海三船による一括撰進","顕宗天皇元年1月1日- 同3年4月25日(『日本書紀』)",,"允恭天皇39年- 顕宗天皇3年4月25日38歳没(『日本書紀』)"
24,仁賢天皇,にんけん,億計天皇,"大脚大為",,"諡号淡海三船による一括撰進","仁賢天皇元年1月5日- 同11年8月8日(『日本書紀』)",,"允恭天皇38年- 仁賢天皇11年8月8日50歳没(『日本書紀』)"
25,武烈天皇,ぶれつ,小泊瀬稚鷦鷯天皇,稚鷦鷯,,"諡号淡海三船による一括撰進","仁賢天皇11年12月- 武烈天皇8年12月8日(『日本書紀』)",,"仁賢天皇2年- 武烈天皇8年12月8日18歳没(『日本書紀』)"
26,"継体天皇(繼體天皇)",けいたい,男大迹天皇,"男大迹彦太尊",,"諡号淡海三船による一括撰進","継体天皇元年(507年?)2月4日- 同25年(531年?)2月7日","真の陵とみられる[13]今城塚古墳で発掘調査実施。","允恭天皇39年(450年?)- 継体天皇25年2月7日(531年3月10日?)82歳?没(『日本書紀』)"
27,安閑天皇,あんかん,広国押武金日天皇,勾,,"諡号淡海三船による一括撰進","継体天皇25年(531年?)2月7日- 安閑天皇2年(535年?)12月17日",,"雄略天皇10年(466年?)- 安閑天皇2年12月17日(536年1月25日?)70歳?没(『日本書紀』)"
28,宣化天皇,"せんか(せんくゎ)",武小広国押盾天皇,檜隈高田,,"諡号淡海三船による一括撰進","宣化天皇元年(535年?)12月- 同4年(539年?)2月10日",,"雄略天皇11年(467年?)-宣化天皇4年2月10日(539年3月15日?)73歳?没(『日本書紀』)"
29,欽明天皇,きんめい,天国排開広庭天皇,,,"諡号淡海三船による一括撰進","宣化天皇4年(539年?)12月5日- 欽明天皇32年(571年?)4月15日",,"継体天皇3年(509年?)- 欽明天皇32年4月15日(571年5月24日?)63歳没(『日本書紀』)"
30,"敏達天皇(敏達天皇)",びだつ,渟中倉太珠敷天皇,他田,,"諡号淡海三船による一括撰進","敏達天皇元年(572年?)4月3日- 同14年(585年?)8月15日",,"宣化天皇3年(538年?)- 敏達天皇14年8月15日(585年9月14日?)48歳?没(『日本書紀』)"
31,用明天皇,ようめい,橘豊日天皇,池辺,,"諡号淡海三船による一括撰進","敏達天皇14年(585年?)9月5日- 用明天皇2年(587年?)4月9日",,"欽明天皇元年(540年?)- 用明天皇2年4月9日(587年5月21日?)48歳?没(『日本書紀』)"
32,崇峻天皇,すしゅん,泊瀬部天皇,泊瀬部,,"諡号淡海三船による一括撰進","用明天皇2年(587年?)8月2日- 崇峻天皇5年(592年)11月3日",,"欽明天皇14年(553年?)- 崇峻天皇5年11月3日(592年12月12日)40歳?没(『日本書紀』)"
33,推古天皇,すいこ,豊御食炊屋姫天皇,額田部,,"諡号淡海三船による一括撰進","崇峻天皇5年(592年)12月8日- 推古天皇36年(628年)3月7日",初の女帝。,"欽明天皇15年(554年?)- 推古天皇36年3月7日(628年4月15日)75歳没"
34,舒明天皇,じょめい,息長足日広額天皇,田村,,"諡号淡海三船による一括撰進","舒明天皇元年(629年)1月4日- 舒明天皇13年(641年)10月9日",,"推古天皇元年(593年)- 舒明天皇13年10月9日(641年11月17日)49歳?没"
35,皇極天皇,"こうぎょく(くゎうぎょく)",天豊財重日足姫天皇,宝,,"諡号淡海三船による一括撰進","皇極天皇元年(642年)1月15日- 同4年(645年)6月14日",女帝。,"推古天皇2年(594年)- 斉明天皇7年7月24日(661年8月24日)68歳没"
36,"孝徳天皇(孝德天皇)","こうとく(かうとく)",天万豊日天皇,軽,,"諡号淡海三船による一括撰進","皇極天皇4年(645年)6月14日- 白雉5年(654年)10月10日",,"推古天皇4年(596年)- 白雉5年10月10日(654年11月24日)59歳没"
37,"斉明天皇(齊明天皇)",さいめい,(皇極に同じ),,,"諡号淡海三船による一括撰進","斉明天皇元年(655年)1月3日- 同7年(661年)7月24日",皇極天皇重祚。女帝。,"推古天皇2年(594年)- 斉明天皇7年7月24日(661年8月24日)68歳没"
38,天智天皇,"てんじ(てんぢ)",天命開別天皇,葛城,,"諡号淡海三船による一括撰進","天智天皇7年(668年)1月3日- 同10年(671年)12月3日",[表外参照 2],"推古天皇34年(626年)- 天智天皇10年12月3日(672年1月7日)46歳没"
39,弘文天皇,こうぶん,,"伊賀大友",,"諡号明治3年追諡","天智天皇10年671年12月5日- 天武天皇元年(672年)7月23日",[表外参照 3],"大化4年(648年)- 天武天皇元年7月23日(672年8月21日)25歳没"
40,天武天皇,てんむ,天渟中原瀛真人天皇,大海人,,"諡号淡海三船による一括撰進","天武天皇2年(673年)2月27日- 朱鳥元年(686年)9月9日",,"舒明天皇3年(631年)?- 朱鳥元年9月9日(686年10月1日)56歳?没"
41,持統天皇,"じとう(ぢとう)","大倭根子天之廣野日女尊高天原廣野姫天皇",鸕野讚良,,"諡号淡海三船による一括撰進","持統天皇4年(690年)1月1日- 持統天皇11年(697年)8月1日",女帝。686年9月9日に称制。,"大化元年(645年)- 大宝2年12月12日(703年1月13日)58歳没"
42,文武天皇,もんむ,"倭根子豊祖父天皇天之真宗豊祖父天皇",珂瑠,,諡号,"文武天皇元年(697年)8月1日- 慶雲4年(707年)6月15日",,"天武天皇12年(683年)- 慶雲4年6月15日(707年7月18日)25歳没"
43,元明天皇,げんめい,日本根子天津御代豊国成姫天皇,阿閇,,"諡号淡海三船による一括撰進","慶雲4年(707年)7月17日- 和銅8年(715年)9月2日",女帝。,"斉明天皇7年(661年)- 養老5年12月7日(721年12月29日)61歳没"
44,元正天皇,"げんしょう(げんしゃう)",日本根子高瑞浄足姫天皇,氷高,,"諡号淡海三船による一括撰進","霊亀元年(715年)9月2日- 養老8年(724年)2月4日",女帝。,"天武天皇9年(680年)- 天平20年4月21日(748年5月22日)69歳没"
45,聖武天皇,"しょうむ(しゃうむ)","天璽国押開豊桜彦天皇勝宝感神聖武皇帝",首,,(生前の尊称),"神亀元年(724年)2月4日- 天平感宝元年(749年)7月2日",,"大宝元年(701年)- 天平勝宝8歳5月2日(756年6月4日)56歳没"
46,孝謙天皇,"こうけん(かうけん)","宝字称徳孝謙皇帝(異称)高野天皇",阿倍,,(生前の尊称),"天平勝宝元年(749年)7月2日- 天平宝字2年(758年)8月1日",女帝。,"養老2年(718年)- 神護景雲4年8月4日(770年8月28日)53歳没"
47,淳仁天皇,じゅんにん,(追諡前)廃帝/淡路廃帝,大炊,,"諡号明治3年追諡","天平宝字2年(758年)8月1日- 同8年(764年)10月9日",,"天平5年(733年)- 天平神護元年10月23日(765年11月10日)33歳没"
48,"称徳天皇(稱德天皇)",しょうとく,(孝謙に同じ),,,(生前の尊称),"天平宝字8年(764年)10月9日- 神護景雲4年(770年)8月4日",孝謙天皇重祚。女帝。,"養老2年(718年)- 神護景雲4年8月4日(770年8月28日)53歳没"
49,光仁天皇,"こうにん(くゎうにん)","天宗高紹天皇(異称)後田原天皇",白壁,,諡号,"宝亀元年(770年)10月1日- 天応元年(781年)4月3日","継体天皇(第26代)以降では、歴代最高齢即位(62歳)。","和銅2年10月13日(709年11月18日)- 天応元年12月23日(782年1月11日)73歳没"
50,桓武天皇,"かんむ(くゎんむ)","日本根子皇統弥照尊(異称)延暦帝/柏原帝",山部,,諡号,"天応元年(781年)4月3日- 延暦25年(806年)3月17日",,"天平9年(737年)- 延暦25年3月17日(806年4月9日)70歳没"
51,平城天皇,へいぜい,"日本根子天推国高彦尊(異称)奈良帝",安殿,,"追号在所(地名)","延暦25年(806年)3月17日- 大同4年(809年)4月1日",,"宝亀5年8月15日(774年9月25日)- 天長元年7月7日(824年8月5日)51歳没"
52,嵯峨天皇,さが,(異称)弘仁帝皇,神野,,"追号譲位後の在所","大同4年(809年)4月1日- 弘仁14年(823年)4月16日",,"延暦5年9月7日(786年10月3日)- 承和9年7月15日(842年8月24日)57歳没"
53,淳和天皇,"じゅんな(じゅんわ)","日本根子天高譲弥遠尊(異称)西院帝",大伴,,"追号譲位後の在所","弘仁14年(823年)4月16日- 天長10年(833年2月28日",,"延暦5年(786年)- 承和7年5月8日(840年6月11日)55歳没"
54,仁明天皇,"にんみょう(にんみゃう)","日本根子天璽豊聡慧尊(異称)深草帝",正良,,諡号,"天長10年(833年)2月28日- 嘉祥3年(850年)3月19日",,"弘仁元年(810年)- 嘉祥3年3月21日(850年5月6日)41歳没"
55,"文徳天皇(文德天皇)",もんとく,(異称)田邑帝,道康,,諡号,"嘉祥3年(850年)3月19日- 天安2年(858年)8月27日",,"天長4年(827年)- 天安2年8月27日(858年10月7日)32歳没"
56,"清和天皇(淸和天皇)",せいわ,(異称)水尾帝,惟仁,,"追号譲位後の在所","天安2年(858年)11月7日- 貞観18年(876年)11月29日",,"嘉祥3年3月25日(850年5月10日)- 元慶4年12月4日(881年1月7日)31歳没"
57,陽成天皇,"ようぜい(やうぜい)",,貞明,,"追号譲位後の在所","貞観18年(876年)11月29日- 元慶8年(884年)2月4日",,"貞観10年12月16日(869年1月2日)- 天暦3年9月29日(949年10月23日)82歳没"
58,光孝天皇,"こうこう(くゎうかう)",(異称)小松帝,時康,,諡号,"元慶8年(884年)2月5日- 仁和3年(887年)8月26日",,"天長7年(830年)- 仁和3年8月26日(887年9月17日)58歳没"
59,宇多天皇,うだ,(異称)寛平帝,定省,,"追号譲位後の在所","仁和3年(887年)8月26日- 寛平9年(897年)7月3日",臣籍降下するも、後に皇族に復帰し即位。,"貞観9年5月5日(867年6月10日)- 承平元年7月19日(931年9月3日)65歳没"
60,醍醐天皇,だいご,(異称)延喜帝,"維城敦仁",,"追号山陵","寛平9年(897年)7月3日- 延長8年(930年)9月22日",出生時は臣籍、後に皇族に復帰し即位。,"元慶9年1月18日(885年2月6日)- 延長8年9月29日(930年10月23日)46歳没"
61,朱雀天皇,すざく,,寛明,,"追号譲位後の在所","延長8年(930年)9月22日- 天慶9年(946年)4月20日",,"延長元年7月24日(923年9月7日)- 天暦6年8月15日(952年9月6日)30歳没"
62,村上天皇,むらかみ,(異称)天暦帝,成明,,"追号山陵","天慶9年(946年)4月20日- 康保4年(967年)5月25日",,"延長4年6月2日(926年7月14日)- 康保4年5月25日(967年7月5日)42歳没"
63,冷泉天皇,れいぜい,,憲平,,"追号譲位後の在所","康保4年(967年)5月25日- 安和2年(969年)8月13日",,"天暦4年5月24日(950年6月12日)- 寛弘8年10月24日(1011年11月21日)62歳没"
64,"円融天皇(圓融天皇)","えんゆう(ゑんゆう)",,守平,,"追号在所(寺名・庵号)","安和2年(969年)8月13日- 永観2年(984年)8月27日",,"天徳3年3月2日(959年4月12日)- 正暦2年2月12日(991年3月1日)33歳没"
65,花山天皇,"かざん(くゎざん)",,師貞,,"追号在所(寺名・庵号)","永観2年(984年)8月27日- 寛和2年(986年)6月23日",,"安和元年10月26日(968年11月29日)- 寛弘5年2月8日(1008年3月17日)41歳没"
66,"一条天皇(一條天皇)","いちじょう(いちでう)",,懐仁,,"追号在位中の皇居の宮名","寛和2年(986年)6月23日- 寛弘8年(1011年)6月13日",,"天元3年6月1日(980年7月15日)- 寛弘8年6月22日(1011年7月25日)32歳没"
67,"三条天皇(三條天皇)","さんじょう(さんでう)",,居貞,,"追号譲位後の在所","寛弘8年(1011年)6月13日- 長和5年(1016年)1月29日",,"天延4年1月3日(976年2月5日)- 寛仁元年5月9日(1017年6月5日)42歳没"
68,"後一条天皇(後一條天皇)","ごいちじょう(ごいちでう)",,敦成,,"追号加後号","長和5年(1016年)1月29日- 長元9年(1036年)4月17日",,"寛弘5年9月11日(1008年10月12日)- 長元9年4月17日(1036年5月15日)29歳没"
69,後朱雀天皇,ごすざく,,敦良,,"追号加後号","長元9年(1036年)4月17日- 寛徳2年(1045年)1月16日",,"寛弘6年11月25日(1009年12月14日)- 寛徳2年1月18日(1045年2月7日)37歳没"
70,後冷泉天皇,ごれいぜい,,親仁,,"追号加後号","寛徳2年(1045年)1月16日- 治暦4年(1068年)4月19日",,"万寿2年8月3日(1025年8月28日)- 治暦4年4月19日(1068年5月22日)44歳没"
71,"後三条天皇(後三條天皇)","ごさんじょう(ごさんでう)",(異称)延久帝,尊仁,,"追号加後号","治暦4年(1068年)4月19日- 延久4年(1072年)12月8日",,"長元7年7月18日(1034年9月3日)- 延久5年5月7日(1073年6月15日)40歳没"
72,白河天皇,"しらかわ(しらかは)",(異称)六条帝,貞仁,,"追号(遺諡)譲位後の在所","延久4年(1072年)12月8日- 応徳3年(1086年)11月26日",,"天喜元年6月19日(1053年7月7日)- 大治4年7月7日(1129年7月24日)77歳没"
73,堀河天皇,"ほりかわ(ほりかは)",,善仁,,"追号在位中の皇居の宮名","応徳3年(1086年)11月26日- 嘉承2年(1107年)7月19日",,"承暦3年7月9日(1079年8月8日)- 嘉承2年7月19日(1107年8月9日)29歳没"
74,"鳥羽天皇(鳥羽天皇)",とば,,宗仁,,"追号譲位後の在所","嘉承2年(1107年)7月19日- 保安4年(1123年)1月28日",,"康和5年1月16日(1103年2月24日)- 保元元年7月2日(1156年7月20日)54歳没"
75,"崇徳天皇(崇德天皇)",すとく,(改称前)讃岐院,顕仁,,諡号,"保安4年(1123年)1月28日- 永治元年(1141年)12月7日",,"元永2年5月28日(1119年7月7日)- 長寛2年8月26日(1164年9月14日)46歳没"
76,"近衛天皇(近衞天皇)","このえ(このゑ)",,体仁,,"追号在位中の皇居の宮名","永治元年(1141年)12月7日- 久寿2年(1155年)7月23日",,"保延5年5月18日(1139年6月16日)- 久寿2年7月23日(1155年8月22日)17歳没"
77,後白河天皇,"ごしらかわ(ごしらかは)",,雅仁,,"追号加後号","久寿2年(1155年)7月24日- 保元3年(1158年)8月11日",,"大治2年9月11日(1127年10月18日)- 建久3年3月13日(1192年4月26日)66歳没"
78,"二条天皇(二條天皇)","にじょう(にでう)",,守仁,,"追号在位中の皇居の宮名","保元3年(1158年)8月11日- 永万元年(1165年)6月25日",,"康治2年6月17日(1143年7月31日)- 永万元年7月28日(1165年9月5日)23歳没"
79,"六条天皇(六條天皇)","ろくじょう(ろくでう)",,順仁,,"追号譲位後の在所","永万元年(1165年)6月25日- 仁安3年(1168年)2月19日","歴代最年少即位(生後7か月)。歴代最年少譲位、歴代最年少上皇(2歳)。","長寛2年11月14日(1164年12月28日)- 安元2年7月17日(1176年8月23日)13歳没"
80,高倉天皇,たかくら,,憲仁,,"追号譲位後の在所","仁安3年(1168年)2月19日- 治承4年(1180年)2月21日",,"永暦2年9月3日(1161年9月23日)- 治承5年1月14日(1181年1月30日)21歳没"
81,"安徳天皇(安德天皇)",あんとく,,言仁,,諡号,"治承4年(1180年)2月21日- 寿永4年(1185年)3月24日","後鳥羽天皇と在位一部重複。歴代最年少崩御(8歳)。","治承2年11月12日(1178年12月22日)- 永寿4年3月24日(1185年4月25日)8歳没"
82,"後鳥羽天皇(後鳥羽天皇)",ごとば,(改称前)隠岐院/顕德院,尊成,,"追号加後号","寿永2年(1183年)8月20日- 建久9年(1198年)1月11日",安德天皇と在位一部重複。,"治承4年7月14日(1180年8月6日)- 延応元年2月22日(1239年3月28日)60歳没"
83,土御門天皇,つちみかど,(改称前)土佐院/阿波院,為仁,,"追号譲位後の在所","建久9年(1198年)1月11日- 承元4年(1210年)11月25日",,"建久6年12月2日(1196年1月3日)- 寛喜3年10月11日(1231年11月6日)36歳没"
84,"順徳天皇(順德天皇)",じゅんとく,(改称前)佐渡院,守成,,諡号,"承元4年(1210年)11月25日- 承久3年(1221年)4月20日",,"建久8年9月10日(1197年10月22日)- 仁治3年9月12日(1242年10月7日)46歳没"
85,仲恭天皇,ちゅうきょう,(追諡前)後廃帝/九条廃帝,懐成,,"諡号明治3年追諡","承久3年(1221年)4月20日- 同3年(1221年)7月9日",在位期間最短(78日間)。,"建保6年10月10日(1218年10月30日)- 天福2年5月20日(1234年6月18日)17歳没"
86,後堀河天皇,"ごほりかわ(ごほりかは)",,茂仁,,"追号加後号","承久3年(1221年)7月9日- 貞永元年(1232年)10月4日",,"建暦2年2月18日(1212年3月22日)- 天福2年8月6日(1234年8月31日)23歳没"
87,"四条天皇(四條天皇)","しじょう(しでう)",,秀仁,,"追号在所(葬家邸宅を在所に擬す)","貞永元年(1232年)10月4日- 仁治3年(1242年)1月9日",,"寛喜3年2月12日(1231年3月17日)- 仁治3年1月9日(1242年2月10日)12歳没"
88,後嵯峨天皇,ごさが,,邦仁,,"追号(遺諡)加後号","仁治3年(1242年)1月20日- 寛元4年(1246年)1月29日",,"承久2年(1220年)2月26日- 文永9年(1272年)2月17日53歳没"
89,後深草天皇,ごふかくさ,,久仁,,"追号(遺諡)加後号","寛元4年(1246年)1月29日- 正元元年(1259年)11月26日",,"寛元元年6月10日(1243年6月28日)- 嘉元2年7月16日(1304年8月17日)62歳没"
90,"亀山天皇(龜山天皇)",かめやま,,恒仁,,"追号(遺諡)譲位後の在所","正元元年(1259年)11月26日- 文永11年(1274年)1月26日",,"建長元年5月27日(1249年7月9日)- 嘉元3年9月15日(1305年10月4日)57歳没"
91,後宇多天皇,ごうだ,,世仁,,"追号(遺諡)加後号","文永11年(1274年)1月26日- 弘安10年(1287年)10月21日",,"文永4年12月1日(1267年12月17日)- 元享4年6月25日(1324年7月16日)58歳没"
92,伏見天皇,ふしみ,,煕仁,,"追号譲位後の在所","弘安10年(1287年)10月21日- 永仁6年(1298年)7月22日",,"文永2年4月23日(1265年5月10日)- 文保元年9月3日(1317年10月8日)53歳没"
93,後伏見天皇,ごふしみ,,胤仁,,"追号(遺諡)加後号","永仁6年(1298年)7月22日- 正安3年(1301年)1月22日",,"弘安11年3月3日(1288年4月5日)- 延元元年4月6日(1336年5月17日)49歳没"
94,"後二条天皇(後二條天皇)","ごにじょう(ごにでう)",,邦治,,"追号加後号","正安3年(1301年)1月22日- 徳治3年(1308年)8月25日",,"弘安8年2月2日(1285年3月9日)- 徳治3年8月25日(1308年9月10日)24歳没"
95,花園天皇,はなぞの,,富仁,,"追号(遺諡)譲位後の在所","延慶元年(1308年)8月26日- 文保2年(1318年)2月26日",,"永仁5年7月25日(1297年8月14日)- 正平3年11月11日(1348年12月2日)52歳没"
"96(南1)",後醍醐天皇,ごだいご,,尊治,,"追号(遺諡)加後号","文保2年(1318年)2月26日- 延元4年(1339年)8月15日",,"正応元年11月2日(1288年11月26日)- 延元4年8月16日(1339年9月19日)52歳没"
"97(南2)",後村上天皇,ごむらかみ,,"憲良義良",,"追号加後号、明治44年追諡","延元4年(1339年)8月15日- 正平23年(1368年)3月11日",,"嘉暦3年(1328年)- 正平23年3月11日(1368年3月29日)41歳没"
"98(南3)",長慶天皇,"ちょうけい(ちゃうけい)",,寛成,,"追号在所(寺名・庵号)大正15年追諡","正平23年(1368年)3月11日- 弘和3年(1383年)10月",,"興国4年(1343年)- 応永元年8月1日(1394年8月27日)52歳没"
"99(南4)","後亀山天皇(後龜山天皇)",ごかめやま,,煕成,,"追号加後号、明治44年追諡","弘和3年(1383年)10月- 元中9年(1392年)閏10月5日",,"正平5年(1350年)?- 応永31年4月12日(1424年5月10日)75歳?没"
北1,"光厳天皇(光嚴天皇)","こうごん(くゎうごん)",,量仁,,"追号(遺諡)在所(寺名・庵号)","元徳3年(1331年)9月20日- 正慶2年(1333年)5月25日",,"正和2年7月9日(1313年8月1日)- 貞治3年7月7日(1364年8月5日)52歳没"
北2,光明天皇,"こうみょう(くゎうみゃう)",,豊仁,,"追号(遺諡)在所(寺名・庵号)","建武3年(1336年)8月15日- 貞和4年(1348年)10月27日",,"元享元年12月23日(1322年1月11日)- 康暦2年6月24日(1380年7月26日)59歳没"
北3,崇光天皇,"すこう(すくゎう)",,"益仁興仁",,追号(遺諡,"貞和4年(1348年)10月27日- 観応2年(1351年)11月7日",,"建武元年4月22日(1334年5月25日)- 応永5年1月13日(1398年1月31日)65歳没"
北4,"後光厳天皇(後光嚴天皇)","ごこうごん(ごくゎうごん)",,彌仁,,"追号(遺諡)加後号","観応3年(1352年)8月17日- 応安4年(1371年)3月23日",,"建武5年3月2日(1338年3月23日)- 応安7年1月29日(1374年3月12日)37歳没"
北5,"後円融天皇(後圓融天皇)","ごえんゆう(ごゑんゆう)",,緒仁,,"追号(遺諡)加後号","応安4年(1371年)3月23日- 永徳2年(1382年)4月11日",,"延文3年12月12日(1359年1月11日)- 明徳4年4月26日(1393年6月6日)35歳没"
"北6↓100",後小松天皇,ごこまつ,,幹仁,,"追号(遺諡)加後号","永徳2年(弘和2年)(1382年)4月11日(明徳3年(元中9年)(1392年)閏10月5日)南北朝統一)- 応永19年(1412年)8月29日",,"永和3年(天授3年)6月27日(1377年8月1日)- 永享5年10月20日(1433年12月1日)57歳没"
101,"称光天皇(稱光天皇)","しょうこう(しょうくゎう)",,"躬仁実仁",,"追号漢風諡号2つを合わせた追号(稱德+光仁)","応永19年(1412年)8月29日- 正長元年(1428年)7月20日",,"応永8年3月29日(1401年5月12日)- 正長元年7月20日(1428年8月30日)28歳没"
102,後花園天皇,ごはなぞの,,彦仁,,"追号加後号","正長元年(1428年)7月28日- 寛正5年(1464年)7月19日",,"応永26年6月17日(1419年7月10日)- 文明2年12月27日(1471年1月18日)53歳没"
103,後土御門天皇,ごつちみかど,,成仁,,"追号加後号","寛正5年(1464年)7月19日- 明応9年(1500年)9月28日",,"嘉吉2年5月25日(1442年7月3日)- 明応9年9月28日(1500年10月21日)59歳没"
